LABEL	state_id	item_index	lexical_identity	target_phonology	S0_freear_predicted_phonology	divergence_step	diag_prefix_correction_label	diag_prefix_correction_corrected_predicted_phonology	diag_prefix_correction_corrected_exact	diag_prefix_correction_corrected_second_divergence_step	diag_prefix_correction_corrected_terminated_by_cap
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	1716	pet	P EH T	P EH G	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P EH T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	1925	kansas	K AE N Z AH S	K AE N AH Z OW	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K AE N Z AH S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	1945	processes	P R AA S EH S AH Z	P R AA S AH S AH Z	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P R AA S EH S AH Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	2041	universal	Y UW N AH V ER S AH L	Y UW N AH V ER	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	Y UW N AH V ER S AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	2083	charges	CH AA R JH AH Z	CH AA R JH AH Z D	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	CH AA R JH AH Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	2322	clearly	K L IH R L IY	K R IH P L AH T IY	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K L IH R L IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	2562	agriculture	AE G R IH K AH L CH ER	AE G R AH F AA L AH JH IY	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE G R IH K AH L CH ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	2702	clothes	K L OW DH Z	SH W EH S T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K L OW DH Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	2751	relief	R IH L IY F	R IY L IY K	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH L IY F	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3028	glossary	G L AO S ER IY	HH AY P ER OW	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	G L AO S ER IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3085	linear	L IH N IY ER	IH L EH K T R IH K	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	L IH N IY AA M AH L	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3155	slide	S L AY D	D R AH G	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S L AY D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3258	charged	CH AA R JH D	CH AA R JH D IH NG	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	CH AA R JH D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3314	downtown	D AW N T AW N	L AW N V ER HH EH D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	D AW N T AW N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3433	chip	CH IH P	D IH P	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	CH IH P	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3681	buffalo	B AH F AH L OW	B AH F AH L	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	B AH F AH L OW	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3693	marked	M AA R K T	M AA R K	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	M AA R K T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3846	columbus	K AH L AH M B AH S	K AH L AH M B AH S T	8	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K AH L AH M B AH S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	3867	maker	M EY K ER	M EY K ER ER	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	M EY K ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	4611	fluid	F L UW AH D	S IH S T AH N S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	F L OW T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	4661	dennis	D EH N IH S	R EH N D IH K	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	D EH N IH S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	4855	bestsellers	B EH S T S EH L ER Z	P EH R AH L Z	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	B EH S T S EH L ER Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	4976	romania	R OW M EY N IY AH	N AH T TH AA L AH	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R OW M EY N IY AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5099	commonwealth	K AA M AH N W EH L TH	K AA N AH L EH K T R IY	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K AA M AH N W EH L TH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5113	skype	S K AY P	K W AY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AY P	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5234	canvas	K AE N V AH S	L AE K W AO L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K AE N ER	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5294	lycos	L AY K OW S	EH L F AY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	L AY K OW S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5318	equally	IY K W AH L IY	AH P L IY T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	IY K W AH L IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5335	charm	CH AA R M	T R IH B ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	CH AA R M	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5372	melissa	M AH L IH S AH	N AH T IY N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	M AH L IH S AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5609	receptor	R IY S EH P T ER	R IY S EH M B AH L ER	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IY S EH P T ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5722	sept	S EH P T	S T AA K	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S EH P T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5889	profession	P R AH F EH SH AH N	P R AH F AY S	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P R AH F EH SH AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5917	royalty	R OY AH L T IY	R OY AH T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R OY AH L T IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5960	advances	AH D V AE N S AH Z	AH T AE M AH N AH L Z	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AH D V AE N S AH Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	5967	ws	D AH B AH L Y UW EH S	D AE B AH JH	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	D AH B AE S K IY	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6101	equality	IH K W AA L AH T IY	IH K W AA L AH JH IY	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	IH K W AA L AH T IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6177	slovenia	S L OW V IY N IY AH	S L OW V AA R K	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S L OW V IY N IY AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6329	guatemala	G W AA T AH M AA L AH	M AH G AA T AH	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	G W AA T AH M AA L AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6505	disagree	D IH S AH G R IY	D IH S K ER T AH N T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	D IH S AH G R IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6549	impression	IH M P R EH SH AH N	IH M P R IH SH AH N	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	IH M P R EH SH AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6823	bullet	B UH L AH T	SH UH D IH NG	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	B UH L AH T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6889	sculpture	S K AH L P CH ER	S K AH L P IH K	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AH L P CH ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6895	lenders	L EH N D ER Z	L AA NG G ER Z	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	L EH NG K ER Z	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6958	debut	D EY B Y UW	D EY B R IY EY	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	D EY B Y UW	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	6963	anatomy	AH N AE T AH M IY	AH N EH T AH M AH S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AH N AE T AH M IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7037	citations	S AY T EY SH AH N Z	S IY AY W IY Z	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S AY T EY SH AH N Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7064	prospects	P R AA S P EH K T S	R AY Z D ER Z	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P R AA S P ER T IY	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7220	freely	F R IY L IY	F R IY L IY F L IY	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	F R IY L IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7258	meaningful	M IY N IH NG F AH L	M IY N Y UH R IY	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	M IY N IH NG F AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7375	combines	K AH M B AY N Z	K AH M OW SH IY EH Z	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K AH M B AY N Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7505	condo	K AA N D OW	K AA N D AE Z	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K AA N D OW	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7637	occurring	AH K ER IH NG	AH K ER S	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AH K ER IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7657	widespread	W AY D S P R EH D	W AY D S T	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	W AY D S P R EH D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7682	palestine	P AE L AH S T AY N	P IY AE N AH S	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	P AE L AH S T AY N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7739	squirt	S K W ER T	S K W ER T ER	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K W ER T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7819	oecd	OW IY S IY D IY	OW P IY EY CH IY	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	OW IY S IY D IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7852	chargers	CH AA R JH ER Z	CH EH S ER Z	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	CH AA T ER Z	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	7978	radios	R EY D IY OW Z	R EY N IH B Z	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R EY D IY OW Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8043	dui	D IY Y UW AY	D IY T IY N IY	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	D IY Y UW N	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8144	brutal	B R UW T AH L	B L AH N T UW	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	B R UW T AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8204	economies	IH K AA N AH M IY Z	IH N K ER D Z	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	IH K AA N AH M IY Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8300	walnut	W AO L N AH T	W AO R N	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	W AO L AH N	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8302	ladder	L AE D ER	L AO N D ER	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	L AE D ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8323	caroline	K EH R AH L AY N	K EH N AH L IH S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	K EH R AH L AY N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8346	tulsa	T AH L S AH	AH L AA S AH	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	T AH L S AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8459	naples	N EY P AH L Z	N EY V AH S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	N EY P AH L Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8483	neural	N UH R AH L	N UH R OW P AH L	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	N UH R AH S	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8525	fuzzy	F AH Z IY	F AH L IY	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	F AH Z IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8529	richards	R IH CH ER D Z	R IH CH ER D	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	R IH CH ER D Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8544	dense	D EH N S	D EH N R AH L	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	D EH N S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8662	stuffed	S T AH F T	S T AH F T IY	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S T AH F T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8702	wagner	W AE G N ER	W AE G M AH N	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	W AE G N ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8715	theta	TH EY T AH	TH EY T OW	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	TH EY T AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	8913	acorn	EY K AO R N	AO R G AH N AY T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	EY K AO R N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9060	adversary	AE D V ER S EH R IY	OW V ER S EH T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE D V ER S EH R IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9124	aforethought	AH F AO R TH AA T	AH F AO R TH IY OW	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AH F AO R TH AA T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9157	aggrandize	AH G R AE N D AY Z	AH B R AE K T	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AH G R AE N D AY Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9215	airboat	EH R B OW T	EY L B OW T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	EH R B OW T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9262	akkadian	AH K EY D IY AH N	AE L AH M EY N IY AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AH K EY D IY AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9273	alamo	AE L AH M OW	AE N JH AH L AA V AH	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE L AH M OW	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9347	alimony	AE L AH M OW N IY	AE L AH M OW B IY	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE L AH M OW N IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9364	alleghenies	AE L AH G EY N IY Z	AE L AH G AH N IY Z	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE L AH G EY N IY Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9392	allomorphs	AE L AH M AO R F S	AY ER IH R IY AH S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE L AH M AO R F S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9394	allophonic	AE L AH F AA N IH K	AE L AH F AH N	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE L AH F AA N IH K	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9441	alsatian	AE L S EY SH AH N	AE L B EY T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE L S EY SH AH N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	9445	altai	AE L T AY	AE L T AH	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	AE L T AY	1	NA	0
