item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
25	more	10	26	M AO R	3	0.038462	1	0.572679877281189	0.572679877281189	0.42732012271881104	0.8463966846466064	0.05643576383590698	20.114957809448242	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	BOTH_CORRECT	BOTH_CORRECT
26	an	10	27	AE N	2	0.037037	1	0.5517845153808594	0.5517845153808594	0.4482154846191406	0.8039416670799255	0.2605302333831787	2.7882227897644043	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	BOTH_CORRECT	BOTH_CORRECT
27	was	10	28	W AA Z	3	0.035714	1	0.5584676265716553	0.5584676265716553	0.4415323734283447	0.8174726963043213	0.13435566425323486	6.94352912902832	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	BOTH_CORRECT	BOTH_CORRECT
28	we	10	29	W IY	2	0.034483	1	0.5769738554954529	0.5769738554954529	0.4230261445045471	0.8551814556121826	0.10746347904205322	17.530370712280273	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	BOTH_CORRECT	BOTH_CORRECT
29	will	10	30	W IH L	3	0.033333	1	0.5701249837875366	0.5701249837875366	0.4298750162124634	0.8411805629730225	0.10547792911529541	10.086908340454102	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	BOTH_CORRECT	BOTH_CORRECT
30	home	10	31	HH OW M	3	0.032258	1	0.5467820167541504	0.5467820167541504	0.4532179832458496	0.7938385009765625	0.22463005781173706	2.728935480117798	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	BOTH_CORRECT	BOTH_CORRECT
31	can	10	32	K AE N	3	0.03125	1	0.5515921115875244	0.5515921115875244	0.4484078884124756	0.8035526871681213	0.043334126472473145	38.01830291748047	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	BOTH_CORRECT	BOTH_CORRECT
32	us	10	33	AH S	2	0.030303	1	0.5283620953559875	0.5283620953559875	0.47163790464401245	0.7567851543426514	0.18246054649353027	12.133756637573242	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	BOTH_CORRECT	BOTH_CORRECT
33	about	10	34	AH B AW T	4	0.029412	1	0.5674905776977539	0.5674905776977539	0.4325094223022461	0.8358099460601807	0.14527922868728638	5.634781360626221	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	BOTH_CORRECT	BOTH_CORRECT
34	if	10	35	IH F	2	0.028571	1	0.589560329914093	0.589560329914093	0.410439670085907	0.8810740113258362	0.05963248014450073	21.147476196289062	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	BOTH_CORRECT	BOTH_CORRECT
35	page	10	36	P EY JH	3	0.027778	1	0.5730317234992981	0.5730317234992981	0.4269682765007019	0.8471156358718872	0.11552023887634277	1.8100926876068115	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	BOTH_CORRECT	BOTH_CORRECT
36	my	10	37	M AY	2	0.027027	1	0.5449301600456238	0.5449301600456238	0.4550698399543762	0.7901033163070679	0.06503874063491821	11.92068862915039	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	BOTH_CORRECT	BOTH_CORRECT
37	has	10	38	HH AE Z	3	0.026316	1	0.561566174030304	0.561566174030304	0.43843382596969604	0.8237603902816772	0.06093037128448486	11.700457572937012	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	BOTH_CORRECT	BOTH_CORRECT
38	search	10	39	S ER CH	3	0.025641	1	0.5811271071434021	0.5811271071434021	0.4188728928565979	0.8637009859085083	0.12042152881622314	1.6356512308120728	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	BOTH_CORRECT	BOTH_CORRECT
39	free	10	40	F R IY	3	0.025	1	0.5157732963562012	0.5157732963562012	0.48422670364379883	0.7315570712089539	0.2635864019393921	4.123695373535156	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	BOTH_CORRECT	BOTH_CORRECT
40	but	10	41	B AH T	3	0.02439	1	0.5899204611778259	0.5899204611778259	0.4100795388221741	0.8818183541297913	0.061425745487213135	24.480205535888672	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	BOTH_CORRECT	BOTH_CORRECT
41	our	10	42	AW ER	2	0.02381	1	0.5373726487159729	0.5373726487159729	0.4626273512840271	0.7748849391937256	0.0583571195602417	29.802631378173828	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	BOTH_CORRECT	BOTH_CORRECT
42	one	10	43	W AH N	3	0.023256	1	0.5605616569519043	0.5605616569519043	0.4394383430480957	0.8217208981513977	0.033313870429992676	33.340614318847656	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	BOTH_CORRECT	BOTH_CORRECT
43	other	10	44	AH DH ER	3	0.022727	1	0.5897443294525146	0.5897443294525146	0.41025567054748535	0.8814541697502136	0.11898887157440186	6.17234992980957	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	BOTH_CORRECT	BOTH_CORRECT
44	do	10	45	D UW	2	0.022222	1	0.5859108567237854	0.5859108567237854	0.4140891432762146	0.8735431432723999	0.09929686784744263	16.059797286987305	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	BOTH_CORRECT	BOTH_CORRECT
45	no	10	46	N OW	2	0.021739	1	0.5706093311309814	0.5706093311309814	0.42939066886901855	0.8421688675880432	0.03976017236709595	28.810321807861328	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	BOTH_CORRECT	BOTH_CORRECT
46	information	10	47	IH N F ER M EY SH AH N	9	0.021277	1	0.5934446454048157	0.5934446454048157	0.4065553545951843	0.8891118764877319	0.24032139778137207	1.2211449146270752	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	BOTH_CORRECT	BOTH_CORRECT
47	time	10	48	T AY M	3	0.020833	1	0.5720016360282898	0.5720016360282898	0.4279983639717102	0.8450112342834473	0.17597365379333496	6.454012393951416	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	BOTH_CORRECT	BOTH_CORRECT
48	they	10	49	DH EY	2	0.020408	1	0.5818745493888855	0.5818745493888855	0.4181254506111145	0.8652366399765015	0.053341448307037354	24.439453125	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	BOTH_CORRECT	BOTH_CORRECT
49	site	10	50	S AY T	3	0.02	1	0.563093364238739	0.563093364238739	0.436906635761261	0.8268629312515259	0.06110352277755737	2.137129783630371	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	BOTH_CORRECT	BOTH_CORRECT
50	he	10	51	HH IY	2	0.019608	1	0.549543559551239	0.549543559551239	0.450456440448761	0.7994133234024048	0.05490291118621826	23.22510528564453	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	BOTH_CORRECT	BOTH_CORRECT
51	up	10	52	AH P	2	0.019231	1	0.5642804503440857	0.5642804503440857	0.4357195496559143	0.8292763233184814	0.08204084634780884	19.24880599975586	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	BOTH_CORRECT	BOTH_CORRECT
52	may	10	53	M EY	2	0.018868	1	0.5350401401519775	0.5350401401519775	0.46495985984802246	0.7701953649520874	0.012135446071624756	48.759429931640625	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	BOTH_CORRECT	BOTH_CORRECT
53	what	10	54	W AH T	3	0.018519	1	0.5989904999732971	0.5989904999732971	0.4010095000267029	0.9006303548812866	0.07960683107376099	14.362808227539062	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	BOTH_CORRECT	BOTH_CORRECT
54	which	10	55	W IH CH	3	0.018182	1	0.569229245185852	0.569229245185852	0.43077075481414795	0.839353621006012	0.18234646320343018	4.636452674865723	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	BOTH_CORRECT	BOTH_CORRECT
55	their	10	56	DH EH R	3	0.017857	1	0.5573533177375793	0.5573533177375793	0.44264668226242065	0.8152137398719788	0.04745221138000488	42.399139404296875	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	BOTH_CORRECT	BOTH_CORRECT
56	news	10	57	N UW Z	3	0.017544	1	0.5606256723403931	0.5606256723403931	0.43937432765960693	0.8218507766723633	0.20934730768203735	2.254293441772461	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	BOTH_CORRECT	BOTH_CORRECT
57	out	10	58	AW T	2	0.017241	1	0.5664710998535156	0.5664710998535156	0.4335289001464844	0.8337337970733643	0.11567741632461548	8.372369766235352	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	BOTH_CORRECT	BOTH_CORRECT
58	use	10	59	Y UW S	3	0.016949	1	0.5903846025466919	0.5903846025466919	0.4096153974533081	0.882777750492096	0.06430411338806152	4.063285827636719	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	BOTH_CORRECT	BOTH_CORRECT
59	any	10	60	EH N IY	3	0.016667	1	0.5862951874732971	0.5862951874732971	0.4137048125267029	0.8743353486061096	0.0882527232170105	11.674468994140625	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	BOTH_CORRECT	BOTH_CORRECT
60	there	10	61	DH EH R	3	0.016393	1	0.5573533177375793	0.5573533177375793	0.44264668226242065	0.8152137398719788	0.04745221138000488	42.399139404296875	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	BOTH_CORRECT	BOTH_CORRECT
61	see	10	62	S IY	2	0.016129	1	0.5079108476638794	0.5079108476638794	0.4920891523361206	0.7158230543136597	0.09722650051116943	21.526018142700195	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	BOTH_CORRECT	BOTH_CORRECT
62	only	10	63	OW N L IY	4	0.015873	1	0.590208113193512	0.590208113193512	0.40979188680648804	0.8824129104614258	0.12330204248428345	8.510383605957031	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	BOTH_CORRECT	BOTH_CORRECT
63	so	10	64	S OW	2	0.015625	1	0.5843369364738464	0.5843369364738464	0.41566306352615356	0.8703014254570007	0.06850498914718628	28.38998031616211	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	BOTH_CORRECT	BOTH_CORRECT
64	his	10	65	HH IH Z	3	0.015385	1	0.5574743151664734	0.5574743151664734	0.4425256848335266	0.8154589533805847	0.14791655540466309	4.257194519042969	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	BOTH_CORRECT	BOTH_CORRECT
65	when	10	66	W EH N	3	0.015152	1	0.566032350063324	0.566032350063324	0.433967649936676	0.832840621471405	0.09420162439346313	19.091476440429688	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	BOTH_CORRECT	BOTH_CORRECT
66	contact	10	67	K AA N T AE K T	7	0.014925	1	0.5718643069267273	0.5718643069267273	0.4281356930732727	0.844730794429779	0.22431951761245728	1.1434118747711182	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	BOTH_CORRECT	BOTH_CORRECT
67	here	10	68	HH IY R	3	0.014706	1	0.5354546308517456	0.5354546308517456	0.4645453691482544	0.7710285186767578	0.07360023260116577	20.67820930480957	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	BOTH_CORRECT	BOTH_CORRECT
68	business	10	69	B IH Z N AH S	6	0.014493	1	0.5722330212593079	0.5722330212593079	0.42776697874069214	0.8454837799072266	0.1981685757637024	2.1868209838867188	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	BOTH_CORRECT	BOTH_CORRECT
69	who	10	70	HH UW	2	0.014286	1	0.554673433303833	0.554673433303833	0.445326566696167	0.8097858428955078	0.07369780540466309	7.8910417556762695	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	BOTH_CORRECT	BOTH_CORRECT
70	web	10	71	W EH B	3	0.014085	1	0.5773978233337402	0.5773978233337402	0.42260217666625977	0.8560501933097839	0.09523320198059082	3.409773349761963	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	BOTH_CORRECT	BOTH_CORRECT
71	also	10	72	AO L S OW	4	0.013889	1	0.5841259360313416	0.5841259360313416	0.41587406396865845	0.8698670864105225	0.14417725801467896	6.317016124725342	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	BOTH_CORRECT	BOTH_CORRECT
72	now	10	73	N AW	2	0.013699	1	0.5561942458152771	0.5561942458152771	0.4438057541847229	0.8128651976585388	0.07373613119125366	23.02369499206543	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	BOTH_CORRECT	BOTH_CORRECT
73	help	10	74	HH EH L P	4	0.013514	1	0.5980061888694763	0.5980061888694763	0.4019938111305237	0.8985821604728699	0.14610594511032104	2.361027717590332	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	BOTH_CORRECT	BOTH_CORRECT
74	get	10	75	G EH T	3	0.013333	1	0.5933449864387512	0.5933449864387512	0.4066550135612488	0.88890540599823	0.10731899738311768	7.636416435241699	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	BOTH_CORRECT	BOTH_CORRECT
75	pm	10	76	P IY EH M	4	0.013158	1	0.5578506588935852	0.5578506588935852	0.4421493411064148	0.8162217140197754	0.3651288151741028	1.0003167390823364	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	BOTH_CORRECT	BOTH_CORRECT
76	view	10	77	V Y UW	3	0.012987	1	0.5745168328285217	0.5745168328285217	0.42548316717147827	0.8501520752906799	0.10858941078186035	1.910420298576355	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	BOTH_CORRECT	BOTH_CORRECT
77	online	10	78	AO N L AY N	5	0.012821	1	0.5933475494384766	0.5933475494384766	0.40665245056152344	0.888910710811615	0.129283607006073	1.828674077987671	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	BOTH_CORRECT	BOTH_CORRECT
78	c	10	79	S IY	2	0.012658	1	0.5079108476638794	0.5079108476638794	0.4920891523361206	0.7158230543136597	0.09722650051116943	21.526018142700195	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	BOTH_CORRECT	BOTH_CORRECT
79	first	10	80	F ER S T	4	0.0125	1	0.5688093304634094	0.5688093304634094	0.4311906695365906	0.8384974002838135	0.07520997524261475	6.801786422729492	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	BOTH_CORRECT	BOTH_CORRECT
80	am	10	81	AE M	2	0.012346	1	0.48211386799812317	0.48211386799812317	0.5178861320018768	0.6642125248908997	0.08238846063613892	20.6700382232666	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	BOTH_CORRECT	BOTH_CORRECT
81	been	10	82	B IH N	3	0.012195	1	0.5659642815589905	0.5659642815589905	0.4340357184410095	0.8327020406723022	0.08355528116226196	10.578508377075195	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	BOTH_CORRECT	BOTH_CORRECT
82	would	10	83	W UH D	3	0.012048	1	0.5831872224807739	0.5831872224807739	0.4168127775192261	0.8679355382919312	0.06944411993026733	13.963562965393066	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	BOTH_CORRECT	BOTH_CORRECT
83	how	10	84	HH AW	2	0.011905	1	0.5533440113067627	0.5533440113067627	0.4466559886932373	0.8070955872535706	0.0461612343788147	31.17577362060547	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	BOTH_CORRECT	BOTH_CORRECT
84	were	10	85	W ER	2	0.011765	1	0.5455784201622009	0.5455784201622009	0.4544215798377991	0.7914105653762817	0.08106440305709839	13.836145401000977	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	BOTH_CORRECT	BOTH_CORRECT
85	me	10	86	M IY	2	0.011628	1	0.553828775882721	0.553828775882721	0.44617122411727905	0.8080763816833496	0.0833086371421814	10.458109855651855	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	BOTH_CORRECT	BOTH_CORRECT
