word	lexicon_index	seed	epoch	target_cosine	best_wrong_cosine	target_rank	top1	top5	margin
news	56	19	155	0.60667914	0.7045916	75	False	False	-0.09791243
out	57	19	155	0.76766294	0.82867414	17	False	False	-0.061011195
use	58	19	155	0.73668236	0.73481244	1	True	True	0.0018699169
any	59	19	155	0.78064716	0.8298689	10	False	False	-0.049221754
there	60	19	155	0.75233215	0.84263295	27	False	False	-0.0903008
see	61	19	155	0.66289866	0.6438165	1	True	True	0.019082189
only	62	19	155	0.7938632	0.81101906	3	False	True	-0.017155886
so	63	19	155	0.8786725	0.86388296	1	True	True	0.014789522
his	64	19	155	0.63719976	0.7728775	75	False	False	-0.13567775
when	65	19	155	0.7773168	0.827658	8	False	False	-0.05034119
contact	66	19	155	0.46010864	0.7086308	680	False	False	-0.24852216
here	67	19	155	0.71092474	0.80581456	55	False	False	-0.09488982
business	68	19	155	0.74854976	0.6584717	1	True	True	0.090078056
who	69	19	155	0.7283708	0.6976548	1	True	True	0.030716002
web	70	19	155	0.75677145	0.70935637	1	True	True	0.047415078
also	71	19	155	0.7414195	0.7754986	9	False	False	-0.034079134
now	72	19	155	0.7589003	0.8099045	15	False	False	-0.05100423
help	73	19	155	0.75906456	0.72482866	1	True	True	0.034235895
get	74	19	155	0.8367629	0.84774315	3	False	True	-0.010980248
pm	75	19	155	0.6137523	0.55620825	1	True	True	0.057544053
view	76	19	155	0.7227374	0.72456896	2	False	True	-0.0018315911
online	77	19	155	0.77764106	0.74656177	1	True	True	0.031079292
c	78	19	155	0.4407894	0.66289866	284	False	False	-0.22210926
first	79	19	155	0.7317146	0.7706768	5	False	True	-0.038962185
am	80	19	155	0.5407642	0.73552924	183	False	False	-0.19476503
been	81	19	155	0.69707453	0.78243726	29	False	False	-0.08536273
would	82	19	155	0.72305024	0.8016851	23	False	False	-0.07863486
how	83	19	155	0.7844093	0.8494374	21	False	False	-0.06502813
were	84	19	155	0.59121644	0.845029	284	False	False	-0.25381255
me	85	19	155	0.80719435	0.816474	3	False	True	-0.009279668
s	86	19	155	0.642224	0.5982884	1	True	True	0.043935597
services	87	19	155	0.7603289	0.69021726	1	True	True	0.07011163
some	88	19	155	0.746458	0.84564835	34	False	False	-0.099190354
these	89	19	155	0.83841217	0.79097277	1	True	True	0.047439396
click	90	19	155	0.6640117	0.5978734	1	True	True	0.06613833
its	91	19	155	0.6806757	0.754511	16	False	False	-0.07383531
like	92	19	155	0.78258634	0.8001933	2	False	True	-0.017606974
service	93	19	155	0.7154059	0.725153	2	False	True	-0.009747148
x	94	19	155	0.5735459	0.64266926	3	False	True	-0.06912339
than	95	19	155	0.7033152	0.8173677	66	False	False	-0.114052474
find	96	19	155	0.7605851	0.8177672	17	False	False	-0.057182074
price	97	19	155	0.67500484	0.66231555	1	True	True	0.012689292
date	98	19	155	0.73317724	0.6135269	1	True	True	0.119650364
back	99	19	155	0.7370677	0.76552457	3	False	True	-0.028456867
top	100	19	155	0.5961933	0.7306942	77	False	False	-0.13450086
people	101	19	155	0.66226876	0.80811024	103	False	False	-0.14584148
had	102	19	155	0.68740463	0.7714181	32	False	False	-0.08401346
list	103	19	155	0.7074566	0.66263866	1	True	True	0.044817924
name	104	19	155	0.7659656	0.6585554	1	True	True	0.10741019
just	105	19	155	0.8694594	0.8165544	1	True	True	0.052904963
over	106	19	155	0.6696348	0.70895076	10	False	False	-0.03931594
state	107	19	155	0.5504963	0.7208703	226	False	False	-0.17037404
year	108	19	155	0.7629773	0.7981669	4	False	True	-0.03518957
day	109	19	155	0.7088627	0.7737862	23	False	False	-0.064923465
into	110	19	155	0.66446394	0.72957516	24	False	False	-0.06511122
email	111	19	155	0.76496387	0.64883935	1	True	True	0.11612451
two	112	19	155	0.63450694	0.8314997	166	False	False	-0.19699275
health	113	19	155	0.6692429	0.68746656	2	False	True	-0.018223643
n	114	19	155	0.6968035	0.6099426	1	True	True	0.086860895
world	115	19	155	0.630761	0.7633129	83	False	False	-0.13255185
re	116	19	155	0.46586502	0.71461433	580	False	False	-0.24874932
next	117	19	155	0.76338875	0.7439454	1	True	True	0.019443333
used	118	19	155	0.74105597	0.78345793	2	False	True	-0.04240197
go	119	19	155	0.7753057	0.8351475	22	False	False	-0.05984181
b	120	19	155	0.42432752	0.7694063	837	False	False	-0.3450788
work	121	19	155	0.7624692	0.7492104	1	True	True	0.013258755
last	122	19	155	0.7873456	0.76422703	1	True	True	0.023118556
most	123	19	155	0.7488482	0.79997724	8	False	False	-0.051129043
products	124	19	155	0.7911696	0.69569117	1	True	True	0.095478415
music	125	19	155	0.74415505	0.67384297	1	True	True	0.07031208
buy	126	19	155	0.6749142	0.699985	11	False	False	-0.025070846
data	127	19	155	0.6847961	0.6597093	1	True	True	0.02508682
make	128	19	155	0.81258184	0.82483304	4	False	True	-0.012251198
them	129	19	155	0.79977804	0.8518742	9	False	False	-0.05209613
should	130	19	155	0.8302108	0.78503245	1	True	True	0.045178354
product	131	19	155	0.7491211	0.7266376	1	True	True	0.022483528
system	132	19	155	0.7008376	0.69503677	1	True	True	0.0058008432
post	133	19	155	0.61997664	0.69840246	18	False	False	-0.078425825
her	134	19	155	0.6713941	0.7437846	13	False	False	-0.0723905
city	135	19	155	0.6387912	0.6953364	7	False	False	-0.056545198
t	136	19	155	0.5821244	0.59434074	3	False	True	-0.01221633
add	137	19	155	0.56695366	0.7887665	103	False	False	-0.22181284
policy	138	19	155	0.6765579	0.6892375	3	False	True	-0.012679577
number	139	19	155	0.6573209	0.72849256	17	False	False	-0.07117164
such	140	19	155	0.71485347	0.7818768	38	False	False	-0.06702334
please	141	19	155	0.5356448	0.7657792	146	False	False	-0.23013437
available	142	19	155	0.71682507	0.7002734	1	True	True	0.016551673
copyright	143	19	155	0.5306238	0.63227874	16	False	False	-0.10165495
support	144	19	155	0.6813393	0.7359596	4	False	True	-0.054620266
message	145	19	155	0.61547333	0.69082063	34	False	False	-0.075347304
after	146	19	155	0.7165448	0.73757035	4	False	True	-0.021025538
best	147	19	155	0.68523014	0.7819655	53	False	False	-0.09673536
software	148	19	155	0.7745822	0.675968	1	True	True	0.098614216
then	149	19	155	0.7258672	0.80792916	29	False	False	-0.08206195
jan	150	19	155	0.44842207	0.61706644	115	False	False	-0.16864437
good	151	19	155	0.7817831	0.80475867	3	False	True	-0.022975564
video	152	19	155	0.79034865	0.6873086	1	True	True	0.10304004
well	153	19	155	0.78830415	0.83078724	7	False	False	-0.04248309
d	154	19	155	0.5199097	0.5331938	2	False	True	-0.013284147
where	155	19	155	0.7262628	0.747272	4	False	True	-0.021009207
info	156	19	155	0.45049417	0.6485964	64	False	False	-0.19810224
rights	157	19	155	0.4904977	0.68958014	415	False	False	-0.19908243
public	158	19	155	0.611803	0.73582554	101	False	False	-0.12402254
books	159	19	155	0.77494526	0.7360829	1	True	True	0.038862348
high	160	19	155	0.50238156	0.66017306	127	False	False	-0.1577915
school	161	19	155	0.7253485	0.6825531	1	True	True	0.04279536
through	162	19	155	0.65263206	0.7473408	47	False	False	-0.09470874
m	163	19	155	0.582719	0.63581735	3	False	True	-0.05309832
each	164	19	155	0.69821054	0.7285514	3	False	True	-0.03034085
links	165	19	155	0.7261758	0.70885074	1	True	True	0.017325044
she	166	19	155	0.6616025	0.77712846	65	False	False	-0.11552596
review	167	19	155	0.75945413	0.6077934	1	True	True	0.15166074
years	168	19	155	0.74221194	0.7964158	4	False	True	-0.054203868
order	169	19	155	0.6442509	0.7197031	18	False	False	-0.07545215
very	170	19	155	0.74031126	0.77847743	4	False	True	-0.038166165
privacy	171	19	155	0.56082016	0.5928644	7	False	False	-0.032044232
book	172	19	155	0.7963553	0.7256829	1	True	True	0.07067239
items	173	19	155	0.7504857	0.6089634	1	True	True	0.14152235
company	174	19	155	0.7377932	0.7200642	1	True	True	0.017728984
r	175	19	155	0.4064713	0.6765431	615	False	False	-0.2700718
read	176	19	155	0.6366258	0.7518331	34	False	False	-0.115207255
group	177	19	155	0.59176743	0.7374437	99	False	False	-0.14567626
sex	178	19	155	0.47841516	0.7174245	394	False	False	-0.23900935
need	179	19	155	0.8015862	0.8099784	2	False	True	-0.008392215
many	180	19	155	0.72314763	0.8238939	40	False	False	-0.100746274
user	181	19	155	0.7651974	0.7098517	1	True	True	0.055345714
said	182	19	155	0.7070299	0.7310257	2	False	True	-0.023995817
de	183	19	155	0.48551378	0.5331938	7	False	False	-0.04768005
does	184	19	155	0.79872817	0.83938634	6	False	False	-0.040658176
set	185	19	155	0.6577029	0.7562167	63	False	False	-0.09851378
under	186	19	155	0.5525056	0.75853294	325	False	False	-0.20602733
general	187	19	155	0.5472523	0.6183135	25	False	False	-0.071061194
research	188	19	155	0.75697935	0.7354936	1	True	True	0.021485746
january	189	19	155	0.68182546	0.6751123	1	True	True	0.006713152
mail	190	19	155	0.71177775	0.584634	1	True	True	0.12714374
full	191	19	155	0.6539439	0.7690971	93	False	False	-0.11515319
map	192	19	155	0.49077886	0.64478934	119	False	False	-0.15401047
reviews	193	19	155	0.6896943	0.67324764	1	True	True	0.01644665
program	194	19	155	0.74051744	0.68754	1	True	True	0.052977443
life	195	19	155	0.7159436	0.69844514	1	True	True	0.017498434
know	196	19	155	0.84045213	0.86499846	5	False	True	-0.024546325
games	197	19	155	0.6246628	0.6276019	2	False	True	-0.002939105
way	198	19	155	0.808182	0.85316604	12	False	False	-0.044984043
days	199	19	155	0.75104386	0.7142316	1	True	True	0.036812246
management	200	19	155	0.67010653	0.61265284	1	True	True	0.057453692
p	201	19	155	0.5821818	0.67310965	4	False	True	-0.09092784
part	202	19	155	0.72840554	0.7741889	13	False	False	-0.04578334
could	203	19	155	0.7975973	0.8207707	8	False	False	-0.023173392
great	204	19	155	0.6836938	0.7504711	18	False	False	-0.06677729
united	205	19	155	0.61369866	0.7161396	76	False	False	-0.10244095
hotel	206	19	155	0.74864346	0.60818315	1	True	True	0.14046031
real	207	19	155	0.6186575	0.79338974	101	False	False	-0.17473221
f	208	19	155	0.6791405	0.6742431	1	True	True	0.0048974156
item	209	19	155	0.6764583	0.5994714	1	True	True	0.07698691
center	210	19	155	0.5868395	0.6533961	12	False	False	-0.06655663
ebay	211	19	155	0.5768713	0.6848188	4	False	True	-0.10794753
must	212	19	155	0.74881595	0.79612386	10	False	False	-0.04730791
store	213	19	155	0.70890933	0.69073117	1	True	True	0.018178165
travel	214	19	155	0.6330377	0.64895684	2	False	True	-0.015919149
comments	215	19	155	0.64898974	0.6637737	3	False	True	-0.014783978
made	216	19	155	0.69389653	0.78204703	24	False	False	-0.0881505
report	217	19	155	0.7041676	0.6941866	1	True	True	0.009980977
off	218	19	155	0.64066267	0.7736071	111	False	False	-0.1329444
member	219	19	155	0.66814184	0.6011163	1	True	True	0.06702554
details	220	19	155	0.601168	0.70815766	30	False	False	-0.10698968
line	221	19	155	0.55983764	0.6747591	64	False	False	-0.11492145
terms	222	19	155	0.6426041	0.71807474	20	False	False	-0.07547063
before	223	19	155	0.73405755	0.77062255	6	False	False	-0.036565006
hotels	224	19	155	0.71625304	0.68399376	1	True	True	0.032259285
did	225	19	155	0.80046004	0.7930312	1	True	True	0.007428825
send	226	19	155	0.6778969	0.71950424	5	False	True	-0.04160732
right	227	19	155	0.55994797	0.74103105	189	False	False	-0.18108308
type	228	19	155	0.69058025	0.6545021	1	True	True	0.036078155
because	229	19	155	0.8614734	0.85575175	1	True	True	0.0057216287
local	230	19	155	0.5831765	0.719685	119	False	False	-0.13650852
those	231	19	155	0.820862	0.8222659	2	False	True	-0.0014039278
using	232	19	155	0.7804642	0.7396678	1	True	True	0.0407964
results	233	19	155	0.56812924	0.74614125	155	False	False	-0.17801201
office	234	19	155	0.6492693	0.6606512	3	False	True	-0.011381924
education	235	19	155	0.7901564	0.68616205	1	True	True	0.10399437
national	236	19	155	0.6287136	0.6372646	3	False	True	-0.008551002
car	237	19	155	0.6241308	0.69904256	26	False	False	-0.07491177
design	238	19	155	0.7374638	0.65738314	1	True	True	0.08008063
take	239	19	155	0.7868815	0.8017764	4	False	True	-0.014894903
posted	240	19	155	0.6651609	0.6147013	1	True	True	0.050459623
internet	241	19	155	0.6462487	0.6692061	3	False	True	-0.022957385
address	242	19	155	0.59195924	0.6266927	8	False	False	-0.034733474
community	243	19	155	0.7058154	0.6288106	1	True	True	0.07700479
within	244	19	155	0.7001712	0.72896975	3	False	True	-0.02879858
states	245	19	155	0.63903683	0.73241925	47	False	False	-0.09338242
area	246	19	155	0.6881648	0.69296265	2	False	True	-0.004797876
want	247	19	155	0.82402825	0.8290924	2	False	True	-0.00506413
phone	248	19	155	0.6670576	0.6421033	1	True	True	0.02495426
dvd	249	19	155	0.7426954	0.73188233	1	True	True	0.010813057
shipping	250	19	155	0.62524253	0.5653721	1	True	True	0.059870422
reserved	251	19	155	0.4070868	0.5793379	257	False	False	-0.1722511
subject	252	19	155	0.6928813	0.6869829	1	True	True	0.0058983564
between	253	19	155	0.6052704	0.7044132	71	False	False	-0.09914279
forum	254	19	155	0.6061634	0.6248414	2	False	True	-0.01867801
family	255	19	155	0.6403235	0.7101382	24	False	False	-0.06981468
l	256	19	155	0.5917809	0.5975666	2	False	True	-0.0057857037
long	257	19	155	0.689917	0.7822371	43	False	False	-0.092320085
based	258	19	155	0.59848434	0.7192556	61	False	False	-0.12077129
w	259	19	155	0.48547342	0.48870248	2	False	True	-0.0032290518
code	260	19	155	0.58634394	0.65634274	13	False	False	-0.0699988
show	261	19	155	0.64461404	0.7785632	89	False	False	-0.13394916
even	262	19	155	0.8411475	0.8264979	1	True	True	0.01464957
black	263	19	155	0.5800978	0.658447	54	False	False	-0.07834923
check	264	19	155	0.71891284	0.6873783	1	True	True	0.031534553
special	265	19	155	0.6043338	0.679822	7	False	False	-0.07548821
prices	266	19	155	0.6527288	0.72225755	8	False	False	-0.06952876
website	267	19	155	0.75247955	0.72946477	1	True	True	0.023014784
index	268	19	155	0.48594466	0.64827365	213	False	False	-0.16232899
being	269	19	155	0.6923441	0.75461316	28	False	False	-0.062269032
women	270	19	155	0.54991144	0.7966353	342	False	False	-0.24672389
much	271	19	155	0.7554204	0.8277684	21	False	False	-0.072348
sign	272	19	155	0.55846447	0.74668235	272	False	False	-0.18821788
file	273	19	155	0.6238466	0.6566025	5	False	True	-0.03275591
link	274	19	155	0.72100145	0.6861041	1	True	True	0.034897327
open	275	19	155	0.5939557	0.68235385	35	False	False	-0.08839816
today	276	19	155	0.6616542	0.73640317	33	False	False	-0.07474899
technology	277	19	155	0.68678844	0.6376412	1	True	True	0.04914725
south	278	19	155	0.68169093	0.67644787	1	True	True	0.005243063
case	279	19	155	0.6036332	0.75724536	128	False	False	-0.15361214
project	280	19	155	0.635354	0.6917851	6	False	False	-0.056431115
same	281	19	155	0.7747671	0.7813044	2	False	True	-0.006537318
pages	282	19	155	0.7551259	0.64128673	1	True	True	0.11383915
uk	283	19	155	0.6038528	0.606225	2	False	True	-0.0023722053
version	284	19	155	0.6550365	0.62695354	1	True	True	0.028082967
section	285	19	155	0.55443054	0.69365865	36	False	False	-0.1392281
own	286	19	155	0.6874849	0.7581531	36	False	False	-0.07066816
found	287	19	155	0.58991456	0.68491435	62	False	False	-0.09499979
sports	288	19	155	0.59632564	0.6223671	3	False	True	-0.026041448
house	289	19	155	0.68211645	0.63652617	1	True	True	0.04559028
related	290	19	155	0.6789456	0.7158116	2	False	True	-0.03686601
security	291	19	155	0.6681916	0.7027146	4	False	True	-0.03452301
both	292	19	155	0.7492673	0.7548244	3	False	True	-0.00555712
g	293	19	155	0.58050203	0.6647962	5	False	True	-0.08429414
county	294	19	155	0.5523868	0.5861164	9	False	False	-0.033729553
american	295	19	155	0.66965026	0.6123326	1	True	True	0.057317674
photo	296	19	155	0.7302527	0.63278115	1	True	True	0.097471535
game	297	19	155	0.67995	0.6415464	1	True	True	0.03840357
members	298	19	155	0.7004573	0.64596236	1	True	True	0.054494917
power	299	19	155	0.5991407	0.71661466	85	False	False	-0.11747396
while	300	19	155	0.6953677	0.74138975	16	False	False	-0.046022058
care	301	19	155	0.6037997	0.80477077	224	False	False	-0.20097107
network	302	19	155	0.6664423	0.61258066	1	True	True	0.053861618
down	303	19	155	0.65794605	0.805854	106	False	False	-0.14790797
computer	304	19	155	0.71292824	0.710973	1	True	True	0.0019552112
systems	305	19	155	0.7220179	0.6355568	1	True	True	0.08646107
three	306	19	155	0.70787245	0.7136046	4	False	True	-0.0057321787
total	307	19	155	0.5384799	0.7199537	212	False	False	-0.18147379
place	308	19	155	0.68103796	0.7354055	11	False	False	-0.054367542
end	309	19	155	0.6734148	0.74984896	39	False	False	-0.076434135
following	310	19	155	0.72356	0.72759044	2	False	True	-0.004030466
download	311	19	155	0.7862864	0.6864131	1	True	True	0.099873304
h	312	19	155	0.6600249	0.62932014	1	True	True	0.030704737
him	313	19	155	0.7410452	0.787376	13	False	False	-0.04633081
without	314	19	155	0.6915063	0.801288	56	False	False	-0.10978168
per	315	19	155	0.54280835	0.7038954	70	False	False	-0.16108704
access	316	19	155	0.66040975	0.712553	6	False	False	-0.052143276
think	317	19	155	0.870834	0.8850011	2	False	True	-0.01416713
north	318	19	155	0.67173254	0.67214257	2	False	True	-0.00041002035
resources	319	19	155	0.6277763	0.65364087	2	False	True	-0.025864542
current	320	19	155	0.6469382	0.7121977	25	False	False	-0.065259516
posts	321	19	155	0.57540137	0.607344	4	False	True	-0.031942606
big	322	19	155	0.75093514	0.8204204	9	False	False	-0.06948525
media	323	19	155	0.56614584	0.6939919	104	False	False	-0.12784606
law	324	19	155	0.57193714	0.7916693	280	False	False	-0.21973217
control	325	19	155	0.704853	0.65177476	1	True	True	0.053078234
water	326	19	155	0.6422162	0.65385246	2	False	True	-0.011636257
history	327	19	155	0.66727495	0.66075647	1	True	True	0.006518483
pictures	328	19	155	0.6349868	0.6902998	6	False	False	-0.05531299
size	329	19	155	0.55172646	0.685583	85	False	False	-0.13385653
art	330	19	155	0.6390835	0.604221	1	True	True	0.03486252
personal	331	19	155	0.6076061	0.7346292	54	False	False	-0.1270231
since	332	19	155	0.6852303	0.8036303	56	False	False	-0.11839998
including	333	19	155	0.6858805	0.77650404	3	False	True	-0.09062356
guide	334	19	155	0.5867259	0.5910072	2	False	True	-0.0042812824
shop	335	19	155	0.7695718	0.6921306	1	True	True	0.077441156
directory	336	19	155	0.60843253	0.54844725	1	True	True	0.05998528
board	337	19	155	0.49692416	0.7650193	398	False	False	-0.26809514
location	338	19	155	0.7309223	0.64533275	1	True	True	0.08558953
change	339	19	155	0.7611219	0.7023626	1	True	True	0.05875933
white	340	19	155	0.5368485	0.69409734	176	False	False	-0.15724885
text	341	19	155	0.58569646	0.63452446	9	False	False	-0.048828006
small	342	19	155	0.7119284	0.6978186	1	True	True	0.01410985
rating	343	19	155	0.54005414	0.5640526	2	False	True	-0.02399844
rate	344	19	155	0.6161844	0.65320474	16	False	False	-0.037020326
government	345	19	155	0.7210345	0.6601011	1	True	True	0.06093341
children	346	19	155	0.72674763	0.6953234	1	True	True	0.031424224
during	347	19	155	0.6676941	0.73691213	15	False	False	-0.06921804
usa	348	19	155	0.57038194	0.58823454	7	False	False	-0.017852604
return	349	19	155	0.7033535	0.7490725	7	False	False	-0.045718968
students	350	19	155	0.7281021	0.70971483	1	True	True	0.018387258
v	351	19	155	0.5857811	0.6227311	3	False	True	-0.036949992
shopping	352	19	155	0.6581277	0.65787816	1	True	True	0.00024956465
account	353	19	155	0.6577639	0.63196504	1	True	True	0.025798857
times	354	19	155	0.61147755	0.757884	134	False	False	-0.14640647
sites	355	19	155	0.7169554	0.7107511	1	True	True	0.006204307
level	356	19	155	0.56969094	0.69907874	102	False	False	-0.1293878
digital	357	19	155	0.6734359	0.63479996	1	True	True	0.03863597
profile	358	19	155	0.52831393	0.5898582	25	False	False	-0.06154424
previous	359	19	155	0.64373434	0.7234696	15	False	False	-0.07973528
form	360	19	155	0.67148817	0.73347217	6	False	False	-0.061984003
events	361	19	155	0.6273909	0.6582346	9	False	False	-0.030843675
love	362	19	155	0.7510379	0.72248363	1	True	True	0.02855426
old	363	19	155	0.5799355	0.62179565	13	False	False	-0.041860163
john	364	19	155	0.6388532	0.69930845	9	False	False	-0.060455263
main	365	19	155	0.60972995	0.6995217	13	False	False	-0.089791775
call	366	19	155	0.63076264	0.7756944	85	False	False	-0.14493173
hours	367	19	155	0.6654739	0.69849366	14	False	False	-0.03301978
image	368	19	155	0.65489554	0.6598769	2	False	True	-0.004981339
title	369	19	155	0.5931605	0.7128364	43	False	False	-0.119675875
non	370	19	155	0.58275497	0.6972286	85	False	False	-0.11447364
k	371	19	155	0.59777814	0.6027881	2	False	True	-0.005009949
y	372	19	155	0.37254336	0.73439324	667	False	False	-0.36184987
insurance	373	19	155	0.57909375	0.6840515	41	False	False	-0.10495776
another	374	19	155	0.7145393	0.7540489	16	False	False	-0.039509594
why	375	19	155	0.6870752	0.73439324	8	False	False	-0.04731804
shall	376	19	155	0.64919674	0.63897556	1	True	True	0.010221183
property	377	19	155	0.61142886	0.6280561	8	False	False	-0.016627252
class	378	19	155	0.46890694	0.76623875	634	False	False	-0.2973318
cd	379	19	155	0.70421404	0.71558166	2	False	True	-0.011367619
still	380	19	155	0.6965841	0.7799255	36	False	False	-0.08334142
money	381	19	155	0.67564887	0.75311303	17	False	False	-0.07746416
quality	382	19	155	0.65572244	0.7050433	7	False	False	-0.049320877
every	383	19	155	0.698246	0.79264635	34	False	False	-0.09440035
listing	384	19	155	0.6530065	0.6397273	1	True	True	0.0132792
content	385	19	155	0.6566052	0.6675655	2	False	True	-0.0109603405
country	386	19	155	0.7007086	0.74505484	8	False	False	-0.044346213
private	387	19	155	0.640967	0.62702674	1	True	True	0.013940275
little	388	19	155	0.7014682	0.8136318	59	False	False	-0.11216354
visit	389	19	155	0.68493503	0.64542675	1	True	True	0.039508283
save	390	19	155	0.5978297	0.786442	177	False	False	-0.18861228
tools	391	19	155	0.64851165	0.6725587	3	False	True	-0.024047077
low	392	19	155	0.636836	0.7070347	20	False	False	-0.070198715
reply	393	19	155	0.5612761	0.6479798	7	False	False	-0.08670372
customer	394	19	155	0.64211756	0.6428268	2	False	True	-0.00070923567
december	395	19	155	0.6682057	0.6851583	5	False	True	-0.016952634
compare	396	19	155	0.55841136	0.71839046	64	False	False	-0.1599791
movies	397	19	155	0.7386601	0.70006025	1	True	True	0.03859985
include	398	19	155	0.69408965	0.75946975	3	False	True	-0.0653801
college	399	19	155	0.69476765	0.6691373	1	True	True	0.025630355
value	400	19	155	0.704519	0.7164644	3	False	True	-0.011945426
article	401	19	155	0.5981302	0.6966742	16	False	False	-0.098544
york	402	19	155	0.58363974	0.69979095	46	False	False	-0.11615121
man	403	19	155	0.64984924	0.73128396	47	False	False	-0.08143473
card	404	19	155	0.63798094	0.6066819	1	True	True	0.031299055
jobs	405	19	155	0.61740524	0.6565507	13	False	False	-0.03914547
provide	406	19	155	0.7805131	0.7324553	1	True	True	0.048057795
j	407	19	155	0.5582357	0.53111386	1	True	True	0.027121842
food	408	19	155	0.68197834	0.65632254	1	True	True	0.025655806
source	409	19	155	0.5398456	0.7626759	347	False	False	-0.2228303
author	410	19	155	0.73586226	0.70549923	1	True	True	0.030363023
different	411	19	155	0.71554464	0.7516126	9	False	False	-0.036067963
press	412	19	155	0.47654632	0.7587704	569	False	False	-0.2822241
u	413	19	155	0.43513644	0.8200916	416	False	False	-0.38495517
learn	414	19	155	0.69555956	0.80690485	34	False	False	-0.11134529
sale	415	19	155	0.6628673	0.6529166	1	True	True	0.009950697
around	416	19	155	0.71006036	0.7186576	2	False	True	-0.008597255
print	417	19	155	0.6847906	0.6739039	1	True	True	0.010886729
course	418	19	155	0.5632618	0.7302672	173	False	False	-0.16700542
job	419	19	155	0.6952923	0.74728686	14	False	False	-0.051994562
canada	420	19	155	0.53495187	0.66566885	105	False	False	-0.13071698
process	421	19	155	0.64214534	0.6658652	10	False	False	-0.023719847
teen	422	19	155	0.55113924	0.6669247	39	False	False	-0.11578548
