kind	state_id	item_index	lexical_identity	target_phonology	in_C_population	C_contract_correct	retrieved_lexical_identity	retrieved_phonology	lexical_identity_correct	phonology_correct	S0_freear_exact_correct	S1_freear_predicted_phonology	S2_freear_exact_correct
NATIVE_CORRECT_S1_WRONG	W4_SRC	1157	wednesday	W EH N Z D IY	1	0	monday	M AH N D IY	0	0	1	M AH N D IY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	1180	cause	K AA Z	1	0	caused	K AA Z D	0	0	1	K AA Z D	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	1392	charge	CH AA R JH	1	0	charges	CH AA R JH AH Z	0	0	1	CH AA R JH AH Z	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	1764	seven	S EH V AH N	1	0	eight	EY T	0	0	1	EY T	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	1985	thousands	TH AW Z AH N D Z	1	0	hundreds	HH AH N D R AH D Z	0	0	1	HH AH N D R AH D Z	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	2118	kong	K AO NG	1	0	hong	HH AO NG	0	0	1	HH AO NG	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	3546	voting	V OW T IH NG	1	0	vote	V OW T	0	0	1	V OW T	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	4157	yield	Y IY L D	1	0	yields	Y IY L D Z	0	0	1	Y IY L D Z	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	4585	bi	B AY	0	NA	they	DH EY	0	0	1	DH EY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	4748	ho	HH OW	1	0	chung	CH AH NG	0	0	1	CH AH NG	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	6153	bee	B IY	0	NA	not	N AA T	0	0	1	N AA T	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	6349	infections	IH N F EH K SH AH N Z	1	0	infection	IH N F EH K SH AH N	0	0	1	IH N F EH K SH AH N	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	6810	vegetable	V EH JH T AH B AH L	1	0	vegetables	V EH JH T AH B AH L Z	0	0	1	V EH JH T AH B AH L Z	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	6876	seventh	S EH V AH N TH	1	0	sixth	S IH K S TH	0	0	1	S IH K S TH	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	7522	bye	B AY	0	NA	they	DH EY	0	0	1	DH EY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	12703	cease	S IY S	1	0	ceasefire	S IY S F AY ER	0	0	1	S IY S F AY ER	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	12827	chang	CH AE NG	1	0	yu	Y UW	0	0	1	Y UW	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	13681	cong	K AO NG	0	NA	hong	HH AO NG	0	0	1	HH AO NG	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	14048	coz	K AA Z	0	NA	caused	K AA Z D	0	0	1	K AA Z D	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	14290	cuff	K AH F	1	0	wrist	R IH S T	0	0	1	R IH S T	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	16766	fang	F AE NG	1	0	yu	Y UW	0	0	1	Y UW	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	17480	forgiven	F ER G IH V AH N	1	0	forgive	F ER G IH V	0	0	1	F ER G IH V	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	17533	fourteen	F AO R T IY N	1	0	twenty	T W EH N T IY	0	0	1	T W EH N T IY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	18788	gunned	G AH N D	1	0	gunmen	G AH N M EH N	0	0	1	G AH N M EH N	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	19549	hoe	HH OW	0	NA	chung	CH AH NG	0	0	1	CH AH NG	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	19589	holst	HH OW L S T	1	0	heinrich	HH AY N R IH K	0	0	1	HH AY N R IH K	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	21371	kun	K AH N	1	0	yu	Y UW	0	0	1	Y UW	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	22801	marquez	M AA R K EH Z	1	0	luis	L UW IY S	0	0	1	L UW IY S	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	23456	misdemeanor	M IH S D AH M IY N ER	1	0	felony	F EH L AH N IY	0	0	1	F EH L AH N IY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	24299	niece	N IY S	1	0	daughter	D AO T ER	0	0	1	D AO T ER	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	24348	ninth	N AY N TH	1	0	sixth	S IH K S TH	0	0	1	S IH K S TH	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	25252	pah	P AE	1	0	je	JH IY	0	0	1	JH IY	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	25323	pang	P AE NG	1	0	yu	Y UW	0	0	1	Y UW	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	25530	patter	P AE T ER	1	0	banter	B AE N T ER	0	0	1	B AE N T ER	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	27743	rhee	R IY	1	0	chung	CH AH NG	0	0	1	CH AH NG	1
NATIVE_CORRECT_S1_WRONG	W4_SRC	29009	shan	SH AE N	1	0	yu	Y UW	0	0	1	Y UW	1
