item_index	word	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
10	this	11	DH IH S	3	0.090909	1	0.5753315687179565	0.5753315687179565	0.42466843128204346	0.8518189191818237	0.08706378936767578	23.126171112060547	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	BOTH_CORRECT	BOTH_CORRECT
11	with	12	W IH DH	3	0.083333	1	0.5630027651786804	0.5630027651786804	0.4369972348213196	0.8266787528991699	0.19722050428390503	3.6569976806640625	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	BOTH_CORRECT	BOTH_CORRECT
12	you	13	Y UW	2	0.076923	1	0.586128830909729	0.586128830909729	0.413871169090271	0.8739924430847168	0.06675523519515991	13.835211753845215	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	BOTH_CORRECT	BOTH_CORRECT
13	it	14	IH T	2	0.071429	1	0.5853886604309082	0.5853886604309082	0.4146113395690918	0.8724672198295593	0.07897323369979858	21.150697708129883	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	BOTH_CORRECT	BOTH_CORRECT
14	not	15	N AA T	3	0.066667	1	0.5933412909507751	0.5933412909507751	0.40665870904922485	0.888897716999054	0.06596899032592773	14.859475135803223	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	BOTH_CORRECT	BOTH_CORRECT
15	or	16	AO R	2	0.0625	1	0.5207456350326538	0.5207456350326538	0.4792543649673462	0.741515040397644	0.003526151180267334	46.858489990234375	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	BOTH_CORRECT	BOTH_CORRECT
16	be	17	B IY	2	0.058824	1	0.535882830619812	0.535882830619812	0.464117169380188	0.7718892693519592	0.017862319946289062	54.22001266479492	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	BOTH_CORRECT	BOTH_CORRECT
17	are	18	AA R	2	0.055556	1	0.4932359457015991	0.4932359457015991	0.5067640542984009	0.6864710450172424	0.027325153350830078	68.12439727783203	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	BOTH_CORRECT	BOTH_CORRECT
18	from	19	F R AH M	4	0.052632	1	0.5297453999519348	0.5297453999519348	0.4702546000480652	0.7595610618591309	0.16027700901031494	8.601943969726562	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	BOTH_CORRECT	BOTH_CORRECT
19	at	20	AE T	2	0.05	1	0.4937841296195984	0.4937841296195984	0.5062158703804016	0.6875675916671753	0.09310847520828247	34.126747131347656	1	AE T	1	AE T	0	OW P AH	1	AE T	1	AE T	1	AE T	0	OW P AH N	1	AE T	WM_ONLY_CORRECT	WM_ONLY_CORRECT
20	as	21	AE Z	2	0.047619	1	0.5487139821052551	0.5487139821052551	0.4512860178947449	0.7977379560470581	0.04969257116317749	32.224632263183594	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	BOTH_CORRECT	BOTH_CORRECT
21	your	22	Y AO R	3	0.045455	1	0.5733141899108887	0.5733141899108887	0.42668581008911133	0.8476929068565369	0.10355591773986816	4.183865070343018	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	BOTH_CORRECT	BOTH_CORRECT
22	all	23	AO L	2	0.043478	1	0.5616603493690491	0.5616603493690491	0.4383396506309509	0.8239516019821167	0.06687277555465698	29.36038589477539	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	BOTH_CORRECT	BOTH_CORRECT
23	have	24	HH AE V	3	0.041667	1	0.5878699421882629	0.5878699421882629	0.41213005781173706	0.877583384513855	0.10223054885864258	8.543883323669434	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	BOTH_CORRECT	BOTH_CORRECT
24	new	25	N UW	2	0.04	1	0.5300260782241821	0.5300260782241821	0.46997392177581787	0.7601245045661926	0.15924817323684692	9.425024032592773	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	BOTH_CORRECT	BOTH_CORRECT
25	more	26	M AO R	3	0.038462	1	0.5687379837036133	0.5687379837036133	0.4312620162963867	0.8383520841598511	0.05363708734512329	21.786657333374023	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	BOTH_CORRECT	BOTH_CORRECT
26	an	27	AE N	2	0.037037	1	0.5156533122062683	0.5156533122062683	0.4843466877937317	0.731316864490509	0.08445608615875244	19.3050537109375	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	BOTH_CORRECT	BOTH_CORRECT
27	was	28	W AA Z	3	0.035714	1	0.5435473322868347	0.5435473322868347	0.4564526677131653	0.7873157858848572	0.08899956941604614	10.599992752075195	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	BOTH_CORRECT	BOTH_CORRECT
28	we	29	W IY	2	0.034483	1	0.5861721038818359	0.5861721038818359	0.41382789611816406	0.874081552028656	0.04542827606201172	24.221118927001953	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	BOTH_CORRECT	BOTH_CORRECT
29	will	30	W IH L	3	0.033333	1	0.5713567733764648	0.5713567733764648	0.42864322662353516	0.8436945080757141	0.04184073209762573	13.637943267822266	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	BOTH_CORRECT	BOTH_CORRECT
30	home	31	HH OW M	3	0.032258	1	0.5614855885505676	0.5614855885505676	0.4385144114494324	0.8235966563224792	0.21498072147369385	3.287959575653076	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	BOTH_CORRECT	BOTH_CORRECT
31	can	32	K AE N	3	0.03125	1	0.5662021636962891	0.5662021636962891	0.43379783630371094	0.8331862688064575	0.08314782381057739	20.413280487060547	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	BOTH_CORRECT	BOTH_CORRECT
32	us	33	AH S	2	0.030303	1	0.5351213216781616	0.5351213216781616	0.4648786783218384	0.7703585028648376	0.22771292924880981	4.984002113342285	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	BOTH_CORRECT	BOTH_CORRECT
33	about	34	AH B AW T	4	0.029412	1	0.5647597908973694	0.5647597908973694	0.4352402091026306	0.8302512764930725	0.21661293506622314	3.051811933517456	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	BOTH_CORRECT	BOTH_CORRECT
34	if	35	IH F	2	0.028571	1	0.5819395780563354	0.5819395780563354	0.41806042194366455	0.8653703331947327	0.0702170729637146	28.241090774536133	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	BOTH_CORRECT	BOTH_CORRECT
35	page	36	P EY JH	3	0.027778	1	0.5759972333908081	0.5759972333908081	0.4240027666091919	0.8531814217567444	0.18235266208648682	1.3393828868865967	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	BOTH_CORRECT	BOTH_CORRECT
36	my	37	M AY	2	0.027027	1	0.5473676919937134	0.5473676919937134	0.4526323080062866	0.7950202822685242	0.05061417818069458	11.884235382080078	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	BOTH_CORRECT	BOTH_CORRECT
37	has	38	HH AE Z	3	0.026316	1	0.5655422806739807	0.5655422806739807	0.4344577193260193	0.8318432569503784	0.13157397508621216	7.521341323852539	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	BOTH_CORRECT	BOTH_CORRECT
38	search	39	S ER CH	3	0.025641	1	0.573594868183136	0.573594868183136	0.426405131816864	0.8482667207717896	0.11993610858917236	1.6278060674667358	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	BOTH_CORRECT	BOTH_CORRECT
39	free	40	F R IY	3	0.025	1	0.5328308343887329	0.5328308343887329	0.4671691656112671	0.7657561898231506	0.26357096433639526	3.1385865211486816	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	BOTH_CORRECT	BOTH_CORRECT
40	but	41	B AH T	3	0.02439	1	0.5967260003089905	0.5967260003089905	0.4032739996910095	0.8959208726882935	0.07891052961349487	14.666365623474121	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	BOTH_CORRECT	BOTH_CORRECT
41	our	42	AW ER	2	0.02381	1	0.5465520024299622	0.5465520024299622	0.45344799757003784	0.7933744192123413	0.10495370626449585	19.439666748046875	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	BOTH_CORRECT	BOTH_CORRECT
42	one	43	W AH N	3	0.023256	1	0.5821440815925598	0.5821440815925598	0.4178559184074402	0.8657906651496887	0.10343360900878906	10.536510467529297	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	BOTH_CORRECT	BOTH_CORRECT
43	other	44	AH DH ER	3	0.022727	1	0.5922105312347412	0.5922105312347412	0.4077894687652588	0.8865556120872498	0.0904969573020935	6.849398136138916	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	BOTH_CORRECT	BOTH_CORRECT
44	do	45	D UW	2	0.022222	1	0.5651570558547974	0.5651570558547974	0.43484294414520264	0.8310593962669373	0.07020759582519531	25.14734649658203	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	BOTH_CORRECT	BOTH_CORRECT
45	no	46	N OW	2	0.021739	1	0.5571301579475403	0.5571301579475403	0.4428698420524597	0.8147614598274231	0.015258193016052246	44.73587417602539	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	BOTH_CORRECT	BOTH_CORRECT
46	information	47	IH N F ER M EY SH AH N	9	0.021277	1	0.5964551568031311	0.5964551568031311	0.4035448431968689	0.8953582048416138	0.2860177755355835	1.1737228631973267	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	BOTH_CORRECT	BOTH_CORRECT
47	time	48	T AY M	3	0.020833	1	0.5796650052070618	0.5796650052070618	0.42033499479293823	0.8606991171836853	0.16247278451919556	7.828204154968262	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	BOTH_CORRECT	BOTH_CORRECT
48	they	49	DH EY	2	0.020408	1	0.5908715128898621	0.5908715128898621	0.40912848711013794	0.8837847113609314	0.0729328989982605	23.162200927734375	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	BOTH_CORRECT	BOTH_CORRECT
49	site	50	S AY T	3	0.02	1	0.5780958533287048	0.5780958533287048	0.42190414667129517	0.8574807643890381	0.09363031387329102	1.7577857971191406	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	BOTH_CORRECT	BOTH_CORRECT
50	he	51	HH IY	2	0.019608	1	0.5516201853752136	0.5516201853752136	0.4483798146247864	0.8036095499992371	0.0691177248954773	36.92998123168945	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	BOTH_CORRECT	BOTH_CORRECT
51	up	52	AH P	2	0.019231	1	0.5511704683303833	0.5511704683303833	0.4488295316696167	0.8027004599571228	0.0784788727760315	24.283342361450195	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	BOTH_CORRECT	BOTH_CORRECT
52	may	53	M EY	2	0.018868	1	0.5293218493461609	0.5293218493461609	0.4706781506538391	0.758711040019989	0.025968313217163086	52.39167785644531	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	BOTH_CORRECT	BOTH_CORRECT
53	what	54	W AH T	3	0.018519	1	0.6006981730461121	0.6006981730461121	0.39930182695388794	0.9041875600814819	0.08385252952575684	15.557299613952637	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	BOTH_CORRECT	BOTH_CORRECT
54	which	55	W IH CH	3	0.018182	1	0.5691246390342712	0.5691246390342712	0.43087536096572876	0.8391402363777161	0.14115411043167114	10.19892692565918	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	BOTH_CORRECT	BOTH_CORRECT
55	their	56	DH EH R	3	0.017857	1	0.5396419763565063	0.5396419763565063	0.46035802364349365	0.7794506549835205	0.013946771621704102	53.919612884521484	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	BOTH_CORRECT	BOTH_CORRECT
56	news	57	N UW Z	3	0.017544	1	0.562232255935669	0.562232255935669	0.43776774406433105	0.8251133561134338	0.17169326543807983	2.508791923522949	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	BOTH_CORRECT	BOTH_CORRECT
57	out	58	AW T	2	0.017241	1	0.5565251111984253	0.5565251111984253	0.4434748888015747	0.8135355710983276	0.1035568118095398	20.573083877563477	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	BOTH_CORRECT	BOTH_CORRECT
58	use	59	Y UW S	3	0.016949	1	0.582119882106781	0.582119882106781	0.417880117893219	0.865740954875946	0.09344649314880371	3.9030227661132812	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	BOTH_CORRECT	BOTH_CORRECT
59	any	60	EH N IY	3	0.016667	1	0.5823145508766174	0.5823145508766174	0.41768544912338257	0.8661410808563232	0.07754683494567871	9.006999969482422	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	BOTH_CORRECT	BOTH_CORRECT
60	there	61	DH EH R	3	0.016393	1	0.5396419763565063	0.5396419763565063	0.46035802364349365	0.7794506549835205	0.013946771621704102	53.919612884521484	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	BOTH_CORRECT	BOTH_CORRECT
61	see	62	S IY	2	0.016129	1	0.5055184960365295	0.5055184960365295	0.49448150396347046	0.7110374569892883	0.08715718984603882	29.3251895904541	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	BOTH_CORRECT	BOTH_CORRECT
62	only	63	OW N L IY	4	0.015873	1	0.6049028635025024	0.6049028635025024	0.39509713649749756	0.912968099117279	0.15419578552246094	4.9220380783081055	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	BOTH_CORRECT	BOTH_CORRECT
63	so	64	S OW	2	0.015625	1	0.5824072360992432	0.5824072360992432	0.41759276390075684	0.8663315176963806	0.04289090633392334	37.30488204956055	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	BOTH_CORRECT	BOTH_CORRECT
64	his	65	HH IH Z	3	0.015385	1	0.5501420497894287	0.5501420497894287	0.4498579502105713	0.8006223440170288	0.1644653081893921	4.769704341888428	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	BOTH_CORRECT	BOTH_CORRECT
65	when	66	W EH N	3	0.015152	1	0.5644199848175049	0.5644199848175049	0.4355800151824951	0.8295600414276123	0.09006685018539429	25.898971557617188	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	BOTH_CORRECT	BOTH_CORRECT
66	contact	67	K AA N T AE K T	7	0.014925	1	0.5732347965240479	0.5732347965240479	0.42676520347595215	0.8475306630134583	0.16966527700424194	1.206557035446167	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	BOTH_CORRECT	BOTH_CORRECT
67	here	68	HH IY R	3	0.014706	1	0.5440887212753296	0.5440887212753296	0.4559112787246704	0.788407027721405	0.10645544528961182	16.97626495361328	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	BOTH_CORRECT	BOTH_CORRECT
68	business	69	B IH Z N AH S	6	0.014493	1	0.5670158863067627	0.5670158863067627	0.4329841136932373	0.834843099117279	0.16479408740997314	1.863300085067749	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	BOTH_CORRECT	BOTH_CORRECT
69	who	70	HH UW	2	0.014286	1	0.5497984886169434	0.5497984886169434	0.45020151138305664	0.7999282479286194	0.11509257555007935	9.968362808227539	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	BOTH_CORRECT	BOTH_CORRECT
70	web	71	W EH B	3	0.014085	1	0.5833320021629333	0.5833320021629333	0.41666799783706665	0.8682333827018738	0.11404925584793091	2.6611571311950684	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	BOTH_CORRECT	BOTH_CORRECT
71	also	72	AO L S OW	4	0.013889	1	0.5606446266174316	0.5606446266174316	0.43935537338256836	0.821889340877533	0.11237794160842896	8.434575080871582	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	BOTH_CORRECT	BOTH_CORRECT
72	now	73	N AW	2	0.013699	1	0.5663037896156311	0.5663037896156311	0.4336962103843689	0.8333932161331177	0.10020726919174194	18.94580841064453	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	BOTH_CORRECT	BOTH_CORRECT
73	help	74	HH EH L P	4	0.013514	1	0.5865851640701294	0.5865851640701294	0.4134148359298706	0.8749331831932068	0.12501424551010132	3.8837668895721436	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	BOTH_CORRECT	BOTH_CORRECT
74	get	75	G EH T	3	0.013333	1	0.5921679735183716	0.5921679735183716	0.4078320264816284	0.886467456817627	0.0761556625366211	10.485326766967773	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	BOTH_CORRECT	BOTH_CORRECT
75	pm	76	P IY EH M	4	0.013158	1	0.5620989203453064	0.5620989203453064	0.4379010796546936	0.8248423933982849	0.36336183547973633	0.9744859337806702	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	BOTH_CORRECT	BOTH_CORRECT
76	view	77	V Y UW	3	0.012987	1	0.5603600740432739	0.5603600740432739	0.4396399259567261	0.8213117122650146	0.09112668037414551	2.4187352657318115	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	BOTH_CORRECT	BOTH_CORRECT
77	online	78	AO N L AY N	5	0.012821	1	0.5783959031105042	0.5783959031105042	0.42160409688949585	0.8580960035324097	0.15654754638671875	1.8462344408035278	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	BOTH_CORRECT	BOTH_CORRECT
78	c	79	S IY	2	0.012658	1	0.5055184960365295	0.5055184960365295	0.49448150396347046	0.7110374569892883	0.08715718984603882	29.3251895904541	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	BOTH_CORRECT	BOTH_CORRECT
79	first	80	F ER S T	4	0.0125	1	0.5682286024093628	0.5682286024093628	0.4317713975906372	0.8373138308525085	0.05337291955947876	10.491175651550293	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	BOTH_CORRECT	BOTH_CORRECT
80	am	81	AE M	2	0.012346	1	0.49546563625335693	0.49546563625335693	0.5045343637466431	0.690930962562561	0.12472975254058838	14.379467010498047	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	BOTH_CORRECT	BOTH_CORRECT
81	been	82	B IH N	3	0.012195	1	0.5260363817214966	0.5260363817214966	0.4739636182785034	0.7521198987960815	0.022128820419311523	63.661102294921875	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	BOTH_CORRECT	BOTH_CORRECT
82	would	83	W UH D	3	0.012048	1	0.5519812107086182	0.5519812107086182	0.44801878929138184	0.8043394088745117	0.016670405864715576	55.196327209472656	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	BOTH_CORRECT	BOTH_CORRECT
83	how	84	HH AW	2	0.011905	1	0.569235622882843	0.569235622882843	0.430764377117157	0.8393665552139282	0.021108806133270264	35.78529357910156	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	BOTH_CORRECT	BOTH_CORRECT
84	were	85	W ER	2	0.011765	1	0.5175758600234985	0.5175758600234985	0.48242413997650146	0.7351662516593933	0.03712141513824463	47.9686393737793	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	BOTH_CORRECT	BOTH_CORRECT
85	me	86	M IY	2	0.011628	1	0.5735629200935364	0.5735629200935364	0.4264370799064636	0.8482013940811157	0.08204120397567749	7.413027286529541	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	BOTH_CORRECT	BOTH_CORRECT
86	s	87	EH S	2	0.011494	1	0.5140008330345154	0.5140008330345154	0.4859991669654846	0.7280089855194092	0.19122189283370972	2.2793102264404297	1	EH S	1	EH S	1	EH S	1	EH S	1	EH S	1	EH S	1	EH S	1	EH S	BOTH_CORRECT	BOTH_CORRECT
