FIGURE_ID	RESULT_FAMILY	SCIENTIFIC_QUESTION	FILE	SOURCE_SCRIPT	NUMERIC_SOURCE	CHECKPOINT_COHORT	CODE_COMMIT	STATUS	PROPOSED_ROLE	REPRODUCIBLE_FROM_TRACKED_ARTIFACTS	LIMITATION	NOTES
mf1_residual_trained_real	behavioral	Which trained real words does LTM still fail on?	[feat/full-lexicon-ceiling] reports/behavioral_wfe_fulllexicon_93a577f/yair_corrections/meeting_figures/mf1_trained_real_ltm_errors.{pdf,png,svg}	scripts/make_meeting_figures.py	reports/behavioral_wfe_fulllexicon_93a577f/yair_corrections/residual_trained_real/tables/residual_trained_real_summary.tsv, reports/behavioral_wfe_fulllexicon_93a577f/yair_corrections/residual_trained_real/tables/residual_trained_real_items.tsv, reports/behavioral_wfe_fulllexicon_93a577f/yair_corrections/residual_trained_real/tables/residual_trained_real_by_length.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	02b6e21d757a1fb20a74fbb114a6468cfbd50f3a	SUPPLEMENTARY	supplementary	yes	descriptive; 12 failing items, no model fitted; frequency association is mechanistically unsurprising but not a causal demonstration	12 of 671 TRAINED_REAL_EXACT items fail in >=1 seed; within-length Zipf percentile 0.188 vs permutation null 0.467, p=0.00015
fig5_rsa	representational	Is ventral geometry semantic and dorsal geometry phonological?	[feat/ventral-semantic-probe] reports/ventral_semantic_93a577f/figures/fig5_rsa_ventral_semantic_dorsal_phonological.{pdf,png,svg}	scripts/ventral_semantic/rsa_full_lexicon.py, scripts/ventral_semantic/figure_rsa.py	reports/ventral_semantic_93a577f/tables/rsa_full_lexicon_correlations.tsv, reports/ventral_semantic_93a577f/tables/rsa_full_lexicon_partial_regression.tsv, reports/ventral_semantic_93a577f/tables/rsa_full_lexicon_correlation_matrix.tsv	X=5 canonical (19/155, 22/140)	c5c0a554b0cba704d3cef0f34b08a4cb5310ff62	MAIN	headline representational figure	partly - tables tracked; regenerating needs the .npy arrays and hence the checkpoints	absolute effect sizes are modest (best model R2 = 0.16); the dorsal-phonological magnitude depends strongly on Levenshtein normalisation (0.13-0.16 raw vs 0.42-0.43 normalised) and no single number should be quoted	exact over all 437,207,235 pairs, nothing sampled; LTM 0.398/0.388 vs GloVe, WM 0.155/0.130 vs raw phonology; reference RDMs nearly independent (r=0.008)
fig2_semantic_identification	representational	Does s_hat retrieve its own GloVe target?	[feat/ventral-semantic-probe] reports/ventral_semantic_93a577f/figures/fig2_target_semantic_identification.{pdf,png,svg}	scripts/ventral_semantic/analyse_and_plot.py	reports/ventral_semantic_93a577f/tables/per_word_identification.tsv (59,142 rows)	X=5 canonical (19/155, 22/140)	c5c0a554b0cba704d3cef0f34b08a4cb5310ff62	MAIN	main figure - the necessary qualifier to the RSA result	partly - table tracked; regeneration needs checkpoints	trained words only; says nothing about pseudowords; no causal claim about what produces the gap	top-1 2.65%/2.54% against 0.0034% chance; median target cosine ~0.30 but median margin ~-0.22, so for a typical word some other vector is nearer
fig1_glove_pca	representational	How does the s_hat cloud sit relative to GloVe?	[feat/ventral-semantic-probe] reports/ventral_semantic_93a577f/figures/fig1_glove_s_hat_pca_alignment.{pdf,png,svg}	scripts/ventral_semantic/analyse_and_plot.py	reports/ventral_semantic_93a577f/tables/pca_annotated_pairs.tsv	X=5 canonical (19/155, 22/140)	c5c0a554b0cba704d3cef0f34b08a4cb5310ff62	SUPPLEMENTARY	supplementary	partly	the 2-D view captures only 8.25% of GloVe variance; it is a projection, and apparent distances must not be quantified	annotation words chosen by a prospective model-independent rule (20 evenly spaced frequency ranks)
fig4_dorsal_wordmaps	representational	What does the dorsal space look like?	[feat/ventral-semantic-probe] reports/ventral_semantic_93a577f/figures/fig4_wordmap_h_wm_seed{19,22}.{pdf,png}	scripts/ventral_semantic/figure_dorsal_pca.py	reports/ventral_semantic_93a577f/tables/dorsal_pca_all_word_coordinates.tsv	X=5 canonical (19/155, 22/140)	c5c0a554b0cba704d3cef0f34b08a4cb5310ff62	SUPPLEMENTARY	supplementary	partly	visual; two components capture ~16% of h_WM variance	PNG files are 14-15 MB each (~60 MB for four); consider PDF-only or external hosting in the release
NC1_naming_scaling	naming/comprehension	How does naming acquisition cost scale with lexicon size?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/summary_plots/fig1_naming_scaling_curve.{pdf,png}	scripts/naming_comprehension/make_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase2f_n0_representative3288_seed22/run_summary.json, reports/naming_comprehension_93a577f/runs/phase2g_n0_representative10000_seed22/run_summary.json, reports/naming_comprehension_93a577f/runs/phase2h_n0_fulllexicon_3000_seed22/run_summary.json	seed22/e140 (single canonical source)	5a79feee9383a631025e3a6ddfe2b0339119a3cb	MAIN	main figure	yes - curated in this report	a cost result, not a proof of impossibility; the full-lexicon curve is still rising but decelerating; not extrapolable from two points	criterion at 550 exposures (N=3,288), 1,200 (N=10,000); 9.8% after 3,000 at N=29,571
NC2_same_words	naming/comprehension	Is the full-lexicon failure about scale or about which words?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/summary_plots/fig2_same_words_alone_vs_full.{pdf,png}	scripts/naming_comprehension/make_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase2g_n0_representative10000_seed22/subset_definition.json, reports/naming_comprehension_93a577f/runs/phase2i_n0_repblockB_10000_seed22/subset_definition.json, reports/naming_comprehension_93a577f/runs/phase2i_n0_repblockC_9571_seed22/subset_definition.json, reports/naming_comprehension_93a577f/runs/phase2h_n0_fulllexicon_3000_seed22/final_per_item.tsv	seed22/e140 (single canonical source)	5a79feee9383a631025e3a6ddfe2b0339119a3cb	MAIN	main figure - the key control	yes - all four inputs curated	training-set memorisation/capacity diagnostic; no held-out population and no generalization claim	blocks alone 97.5/97.2/98.4% vs the identical words at 9.6/9.6/10.1% inside the full lexicon
NC3_comprehension_curve	naming/comprehension	Is comprehension learnable, and at what cost?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/summary_plots/fig3_comprehension_learning_curve.{pdf,png}	scripts/naming_comprehension/make_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase2d3_c3_subset3288_stress_seed22/run_summary.json	seed22/e140 (single canonical source)	5a79feee9383a631025e3a6ddfe2b0339119a3cb	MAIN	main figure	yes - curated	retrieval against the full 29,571 bank; the apparent plateau at 1,000 exposures was a budget artefact, not a ceiling	criterion confirmed at 3,850 exposures with no architecture, scope, objective or hyper-parameter change
NC4_repetition_cost	naming/comprehension	What does single-task training cost repetition?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/summary_plots/fig4_repetition_cost_single_task.{pdf,png}	scripts/naming_comprehension/make_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase2b_c3_flat_seed22/run_summary.json, reports/naming_comprehension_93a577f/runs/phase2b_n0_naming_seed22/run_summary.json	seed22/e140 (single canonical source)	5a79feee9383a631025e3a6ddfe2b0339119a3cb	MAIN	main figure	yes - curated	both source runs recorded eval_git.dirty=true; see PROVENANCE_LIMITATIONS.md	WM numerically unchanged (0.999763, bit-identical); LTM falls 98.9% -> 1.4% (comprehension) and 0.14% (naming)
NC5_sequential_forgetting	naming/comprehension	What happens when Block A is followed by Block B?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/summary_plots/fig5_sequential_forgetting.{pdf,png}	scripts/naming_comprehension/make_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase2j_n0_sequential_A_then_B_seed22/run_summary.json	seed22/e140 (single canonical source)	5a79feee9383a631025e3a6ddfe2b0339119a3cb	MAIN	main figure	yes - curated	the run starts a fresh AdamW over the same scope (the source checkpoint stores no optimizer state) - a recorded confound for the acquisition slowdown, though not for the forgetting; run recorded dirty=true	Block A 97.51% -> 0.02% within 50 Block-B exposures; B-after-A 34.5% at 1,500 vs ~97% by 1,300 alone
NC_backup_frozen	naming/comprehension	What did the frozen model already do before any task training?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/summary_plots/fig_backup_frozen_starting_point.{pdf,png}	scripts/naming_comprehension/make_summary_plots.py	reports/naming_comprehension_93a577f/frozen_baseline/cohort/cohort_summary.json, reports/naming_comprehension_93a577f/frozen_baseline/cohort/cohort_by_seed.tsv	historical 4-checkpoint (19/155, 20/130, 21/145, 22/140) - NOT all canonical under X=5	5a79feee9383a631025e3a6ddfe2b0339119a3cb	BACKUP	supplementary - essential baseline context	yes - curated	mean over the HISTORICAL four checkpoints, not the X=5 pair; descriptive only (n=4, no inferential statistics)	frozen comprehension 2.55%, naming from true GloVe exactly 0.00%, naming from the model's own s_hat 98.73%
MT1_local_coexistence	warm-start	Can three tasks coexist in the same LTM parameters?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/multitask_summary_plots/fig1_multitask_local_coexistence.{pdf,png}	scripts/naming_comprehension/make_multitask_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase3a_multitask_123_subset3288_seed22/run_summary.json, reports/naming_comprehension_93a577f/runs/phase3b_multitask_123_continue400k_to800k_subset3288_seed22/run_summary.json	seed22/e140 (single canonical source)	8370a00b72adadf8db4cab2bb1794da41f5137c0	MAIN	main figure	yes - curated	coexistence is NOT monotonically stable: repetition LTM dips well below 95% during training and comprehension itself dipped below threshold at 740k between two successful snapshots	all four conditions first met at 720k, confirmed at 760k and 780k (R 100 / N 100 / C 95.1)
MT2_local_vs_global	warm-start	What does the rehearsal population change?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/multitask_summary_plots/fig2_local_vs_global_rehearsal.{pdf,png}	scripts/naming_comprehension/make_multitask_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase3b_multitask_123_continue400k_to800k_subset3288_seed22/run_summary.json, reports/naming_comprehension_93a577f/runs/phase3c_multitask_123_replexfull_subset3288_seed22/run_summary.json	seed22/e140 (single canonical source)	8370a00b72adadf8db4cab2bb1794da41f5137c0	MAIN	main figure	yes - curated	the comparison changes BOTH rehearsal breadth (3,288 -> 29,571) AND per-item exposure (~2,500 -> ~288 passes); these are NOT separable from 3B vs 3C alone. Endpoints also differ (780k vs 800k)	3B: 95.1/100.0/100.0/11.8 ; 3C: 91.5/100.0/97.3/97.1
MT3_global_preservation	warm-start	How much of the historical repetition system survives?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/multitask_summary_plots/fig3_global_repetition_preservation.{pdf,png}	scripts/naming_comprehension/make_multitask_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase3b_multitask_123_continue400k_to800k_subset3288_seed22/run_summary.json, reports/naming_comprehension_93a577f/runs/phase3c_multitask_123_replexfull_subset3288_seed22/run_summary.json	seed22/e140 (single canonical source)	8370a00b72adadf8db4cab2bb1794da41f5137c0	MAIN	headline preservation-acquisition figure	yes - curated	LTM is NOT perfectly preserved: 97.1% is 1.8 absolute points below the canonical 98.9%	WM numerically unchanged (0.999763) in all three conditions; local-only rehearsal collapses LTM to 11.8% and FULL to 83.2%
MT_backup_recovery	warm-start	Is the historical solution held in place or perturbed?	[chore/reproducibility-prep] reports/naming_comprehension_93a577f/figures/multitask_summary_plots/fig_backup_ltm_recovery_dynamics.{pdf,png}	scripts/naming_comprehension/make_multitask_summary_plots.py	reports/naming_comprehension_93a577f/runs/phase3b_multitask_123_continue400k_to800k_subset3288_seed22/run_summary.json, reports/naming_comprehension_93a577f/runs/phase3c_multitask_123_replexfull_subset3288_seed22/run_summary.json	seed22/e140 (single canonical source)	8370a00b72adadf8db4cab2bb1794da41f5137c0	BACKUP	supplementary	yes - curated	no out-of-subset probe exists for Phase 3B; the probe was introduced with the Phase 3C implementation, so only the 3C probe can be shown	both dip near 5k (3B ~77.9%, 3C ~60.7%) then recover
LEGACY_june2026	obsolete	(superseded) June-2026 seed-model evaluation and ablation figures	figures/ablation/*.png, figures/eval/*.png, figures/train/*.png, figures/summary.json (tracked on ALL branches)	run_all.py	none tracked	the 2026-06-29 seed model on a small lexicon - NOT the 93a577f cohort	1af89d1fc5fe54b9abbb456901b3d1c1aef6c140	OBSOLETE_SUPERSEDED	none - do not reuse	n/a	these figures predate full-lexicon training and contradict current findings; the stale top-level README describes THEM	listed only to prevent accidental reuse; recommend quarantining under legacy/ before release
